service_id,start_date,end_date,active_days_per_week,exception_count,service_stability_level,last_refresh
1262,2025-04-04,2025-12-13,7,89,Unstable,"2026-04-06 10:59:30"
1263,2025-04-04,2025-12-13,0,77,Unstable,"2026-04-06 10:59:30"
1264,2025-04-04,2025-12-13,0,10,Unstable,"2026-04-06 10:59:30"
1265,2025-04-04,2025-12-13,7,60,Unstable,"2026-04-06 10:59:30"
1266,2025-04-04,2025-12-13,0,43,Unstable,"2026-04-06 10:59:30"
1267,2025-04-04,2025-12-13,5,86,Unstable,"2026-04-06 10:59:30"
1268,2025-04-04,2025-12-13,0,66,Unstable,"2026-04-06 10:59:30"
1269,2025-04-04,2025-12-13,0,5,Limited,"2026-04-06 10:59:30"
127,2025-04-04,2025-12-13,0,21,Unstable,"2026-04-06 10:59:30"
1270,2025-04-04,2025-12-13,0,8,Unstable,"2026-04-06 10:59:30"
1271,2025-04-04,2025-12-13,0,45,Unstable,"2026-04-06 10:59:30"
1272,2025-04-04,2025-12-13,7,59,Unstable,"2026-04-06 10:59:30"
1273,2025-04-04,2025-12-13,0,18,Unstable,"2026-04-06 10:59:30"
1274,2025-04-04,2025-12-13,2,36,Unstable,"2026-04-06 10:59:30"
1275,2025-04-04,2025-12-13,0,16,Unstable,"2026-04-06 10:59:30"
1276,2025-04-04,2025-12-13,0,8,Unstable,"2026-04-06 10:59:30"
1277,2025-04-04,2025-12-13,0,102,Unstable,"2026-04-06 10:59:30"
1278,2025-04-04,2025-12-13,0,48,Unstable,"2026-04-06 10:59:30"
1279,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
128,2025-04-04,2025-12-13,0,34,Unstable,"2026-04-06 10:59:30"
1280,2025-04-04,2025-12-13,0,10,Unstable,"2026-04-06 10:59:30"
1281,2025-04-04,2025-12-13,0,35,Unstable,"2026-04-06 10:59:30"
1282,2025-04-04,2025-12-13,0,10,Unstable,"2026-04-06 10:59:30"
1283,2025-04-04,2025-12-13,7,18,Limited,"2026-04-06 10:59:30"
1284,2025-04-04,2025-12-13,2,41,Unstable,"2026-04-06 10:59:30"
1285,2025-04-04,2025-12-13,5,45,Unstable,"2026-04-06 10:59:30"
1286,2025-04-04,2025-12-13,2,10,Limited,"2026-04-06 10:59:30"
1287,2025-04-04,2025-12-13,0,28,Unstable,"2026-04-06 10:59:30"
1288,2025-04-04,2025-12-13,5,51,Unstable,"2026-04-06 10:59:30"
1289,2025-04-04,2025-12-13,5,63,Unstable,"2026-04-06 10:59:30"
129,2025-04-04,2025-12-13,1,52,Unstable,"2026-04-06 10:59:30"
1290,2025-04-04,2025-12-13,7,67,Unstable,"2026-04-06 10:59:30"
1291,2025-04-04,2025-12-13,7,88,Unstable,"2026-04-06 10:59:30"
1292,2025-04-04,2025-12-13,2,27,Unstable,"2026-04-06 10:59:30"
1293,2025-04-04,2025-12-13,2,24,Unstable,"2026-04-06 10:59:30"
1294,2025-04-04,2025-12-13,0,53,Unstable,"2026-04-06 10:59:30"
1295,2025-04-04,2025-12-13,0,36,Unstable,"2026-04-06 10:59:30"
1296,2025-04-04,2025-12-13,5,42,Unstable,"2026-04-06 10:59:30"
1297,2025-04-04,2025-12-13,0,29,Unstable,"2026-04-06 10:59:30"
1298,2025-04-04,2025-12-13,0,51,Unstable,"2026-04-06 10:59:30"
