route_id,route_type,route_short_name,trip_count,unique_shape_count,route_intensity_level
18898_700,700,580,139,24,Critical
18900_700,700,582,115,18,Critical
18903_700,700,585,42,12,Critical
18904_700,700,586,33,25,Critical
18906_700,700,588,60,33,Critical
18908_700,700,590,105,18,Critical
18909_700,700,601,173,13,Critical
18911_700,700,607,134,14,Critical
18913_700,700,608,114,25,Critical
18914_700,700,610,134,12,Critical
18915_700,700,611,296,40,Critical
18917_700,700,613,65,16,Critical
18920_700,700,620,592,14,Critical
18927_700,700,627,128,13,Critical
18929_700,700,629,140,17,Critical
18931_700,700,631,408,17,Critical
18932_700,700,632,276,24,Critical
18933_700,700,633,140,18,Critical
18934_700,700,634,65,13,Critical
18935_700,700,635,49,16,Critical
18938_3,3,644,20,6,Critical
18939_700,700,645,188,30,Critical
19009_700,700,897,164,18,Critical
19058_100,100,RE3,408,124,Critical
19059_100,100,RE5,203,67,Critical
19066_100,100,RE6,189,54,Critical
19084_700,700,401,50,22,Critical
19087_700,700,413,55,24,Critical
19088_700,700,414,20,18,High
19089_700,700,416,35,26,Critical
19090_700,700,419,42,25,Critical
19091_700,700,421,45,30,Critical
19092_700,700,424,40,17,Critical
19093_700,700,425,29,21,Critical
19094_700,700,427,27,18,High
19096_700,700,431,30,26,High
19097_700,700,432,22,15,High
19098_700,700,435,90,46,Critical
19099_700,700,441,36,28,Critical
19100_700,700,445,39,16,Critical
19103_700,700,450,31,17,High
19104_700,700,451,26,17,High
19106_700,700,453,21,13,Critical
19109_700,700,456,23,14,Critical
19110_700,700,457,20,14,High
19111_700,700,459,63,35,Critical
19112_700,700,460,26,19,Critical
19114_700,700,463,22,15,Critical
19115_700,700,464,47,13,High
19116_700,700,465,19,13,Critical
19119_700,700,469,31,17,High
19121_700,700,472,35,20,High
19126_700,700,481,128,12,Critical
19128_700,700,484,37,16,Critical
19131_700,700,491,46,14,Critical
19134_700,700,501,17,13,Critical
19136_700,700,503,27,12,High
19137_700,700,504,55,38,Critical
19139_700,700,506,82,26,Critical
19140_700,700,508,30,13,Critical
19141_700,700,509,50,22,Critical
19142_700,700,510,30,27,High
19144_700,700,512,24,15,High
19147_700,700,517,66,40,Critical
19149_700,700,519,33,24,High
1922_3,3,652,52,8,Critical
